"","Year","ISSN","TotalWords"
"1","1880","0371-6635",39812
"2","1881","0371-6635",60536
"3","1882","0371-6635",99631
"4","1882","1458-6711",8292
"5","1883","0371-6635",118376
"6","1883","1458-6711",152718
"7","1884","0371-6635",90784
"8","1884","1458-6711",162555
"9","1885","0371-6635",99951
"10","1885","1458-6711",235966
"11","1886","0371-6635",92708
"12","1886","1458-6711",240506
"13","1887","0371-6635",98874
"14","1887","1458-6711",251977
"15","1888","0371-6635",104262
"16","1888","1458-6711",181878
"17","1889","0371-6635",103492
"18","1889","1458-6711",185208
"19","1890","0371-6635",103153
"20","1890","1458-6711",169782
"21","1890","1458-8625",14746
"22","1891","0371-6635",93264
"23","1891","1458-6711",167782
"24","1891","1458-8625",319210
"25","1892","0371-6635",98765
"26","1892","1458-6711",163483
"27","1892","1458-8625",387412
"28","1893","0371-6635",130680
"29","1893","1458-6711",174152
"30","1893","1458-8625",431460
"31","1894","0371-6635",135075
"32","1894","1458-6711",241126
"33","1894","1458-8625",370539
"34","1895","0371-6635",162519
"35","1895","1458-6711",220156
"36","1895","1458-8625",422134
"37","1896","0371-6635",130775
"38","1896","1458-6711",215863
"39","1896","1458-8625",363175
"40","1897","0371-6635",180933
"41","1897","1458-6711",219872
"42","1897","1458-8625",339227
"43","1898","0371-6635",80969
"44","1898","1458-6711",217014
"45","1898","1458-8625",337384
"46","1899","0371-6635",118383
"47","1899","1458-6711",206859
"48","1899","1458-8625",348165
"49","1900","0371-6635",200629
"50","1900","1458-6711",208751
"51","1900","1458-8625",343402
"52","1901","0371-6635",126231
"53","1901","1458-6711",143836
"54","1901","1458-8625",416190
"55","1902","0371-6635",227971
"56","1902","1458-6711",110485
"57","1902","1458-8625",362846
"58","1903","0371-6635",219540
"59","1903","1458-6711",69338
"60","1903","1458-8625",575733
"61","1904","0371-6635",216274
"62","1904","1458-6711",184362
"63","1904","1458-8625",549301
"64","1905","0371-6635",243533
"65","1905","1458-6711",136476
"66","1905","1458-8625",479021
"67","1906","0371-6635",183604
"68","1906","1458-6711",87143
"69","1906","1458-8625",517715
"70","1907","0371-6635",162400
"71","1907","1458-6711",106725
"72","1907","1458-8625",495159
"73","1908","0371-6635",190181
"74","1908","1458-6711",131522
"75","1908","1458-8625",515911
"76","1909","0371-6635",219314
"77","1909","1458-6711",125918
"78","1909","1458-8625",487972
"79","1910","0371-6635",266958
"80","1910","1458-6711",189579
"81","1910","1458-8625",525309
